name,Code,データ有無,データ開始日,データ終了日,レコード数,営業日カバレッジ (%),欠損項目
京セラ,6971,有り,2018-05-30,2025-09-26,1796,93.88,無し
太陽誘電,6976,有り,2018-05-30,2025-09-26,1796,93.88,無し
村田製,6981,有り,2018-05-30,2025-09-26,1796,93.88,無し
日東電,6988,有り,2018-05-30,2025-09-26,1796,93.88,無し
三井Ｅ＆Ｓ,7003,有り,2018-05-30,2025-09-26,1796,93.88,無し
カナデビア,7004,有り,2018-05-30,2025-09-26,1796,93.88,無し
三菱重,7011,有り,2018-05-30,2025-09-26,1796,93.88,無し
川重,7012,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＩＨＩ,7013,有り,2018-05-30,2025-09-26,1796,93.88,無し
名村造船所,7014,有り,2018-05-30,2025-09-26,1796,93.88,無し
ポート,7047,有り,2019-06-10,2025-09-26,1540,93.62,無し
ベルトラ,7048,有り,2019-06-10,2025-09-26,1540,93.62,無し
フロンティアインターナショナル,7050,有り,2019-08-08,2025-09-26,1498,93.51,無し
日本ホスピスホールディングス,7061,有り,2019-09-04,2025-09-26,1480,93.49,無し
ピアズ,7066,有り,2019-11-27,2025-09-26,1425,93.57,無し
フィードフォースグループ,7068,有り,2019-12-13,2025-09-26,1413,93.51,無し
ＷＤＢココ,7079,有り,2020-06-10,2025-09-26,1297,93.78,無し
ＮｅｘＴｏｎｅ,7094,有り,2020-09-04,2025-09-26,1238,93.72,無し
ステムセル研究所,7096,有り,2021-12-02,2025-09-26,935,93.78,無し
三菱ロジスネクスト,7105,有り,2018-05-30,2025-09-26,1796,93.88,無し
クラシコム,7110,有り,2023-01-16,2025-09-26,663,94.04,無し
ハルメクホールディングス,7119,有り,2023-08-28,2025-09-26,510,93.58,無し
ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ,7133,無し,,,0,0.0,N/A
ＦＰＧ,7148,有り,2018-05-30,2025-09-26,1796,93.88,無し
ライフネット生命保険,7157,有り,2018-05-30,2025-09-26,1796,93.88,無し
全国保証,7164,有り,2018-05-30,2025-09-26,1796,93.88,無し
めぶきフィナンシャルグループ,7167,有り,2018-05-30,2025-09-26,1796,93.88,無し
ゆうちょ銀行,7182,有り,2018-05-30,2025-09-26,1796,93.88,無し
コンコルディ,7186,有り,2018-05-30,2025-09-26,1796,93.88,無し
日産自,7201,有り,2018-05-30,2025-09-26,1796,93.88,無し
いすゞ,7202,有り,2018-05-30,2025-09-26,1796,93.88,無し
トヨタ,7203,有り,2018-05-30,2025-09-26,1796,93.88,無し
日野自,7205,有り,2018-05-30,2025-09-26,1796,93.88,無し
三菱自,7211,有り,2018-05-30,2025-09-26,1796,93.88,無し
アイシン,7259,有り,2018-05-30,2025-09-26,1796,93.88,無し
マツダ,7261,有り,2018-05-30,2025-09-26,1796,93.88,無し
ホンダ,7267,有り,2018-05-30,2025-09-26,1796,93.88,無し
スズキ,7269,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＳＵＢＡＲＵ,7270,有り,2018-05-30,2025-09-26,1796,93.88,無し
ヤマハ発,7272,有り,2018-05-30,2025-09-26,1796,93.88,無し
小糸製作所,7276,有り,2018-05-30,2025-09-26,1796,93.88,無し
豊田合成,7282,有り,2018-05-30,2025-09-26,1796,93.88,無し
シマノ,7309,有り,2018-05-30,2025-09-26,1796,93.88,無し
松屋アールアンドディ,7317,有り,2020-09-11,2025-09-26,1233,93.69,無し
セレンディップ・ホールディングス,7318,有り,2021-12-01,2025-09-26,936,93.79,無し
日本リビング保証,7320,有り,2018-08-29,2025-09-26,1731,93.67,無し
ＳＢＩインシュアランスグループ,7326,有り,2019-03-04,2025-09-26,1603,93.47,無し
ウェルスナビ,7342,無し,,,0,0.0,N/A
ブロードマインド,7343,有り,2021-09-02,2025-09-26,996,93.79,無し
ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,7352,有り,2020-12-17,2025-09-26,1169,93.74,無し
アイドマ・ホールディングス,7373,有り,2021-11-30,2025-09-26,937,93.79,無し
ジャパンワランティサポート,7386,無し,,,0,0.0,N/A
ＡｅｒｏＥｄｇｅ,7409,有り,2023-12-11,2025-09-26,439,93.4,無し
ノジマ,7419,有り,2018-05-30,2025-09-26,1796,93.88,無し
良品計画,7453,有り,2018-05-30,2025-09-26,1796,93.88,無し
メディパルホールディングス,7459,有り,2018-05-30,2025-09-26,1796,93.88,無し
パン・パシフィック・インターナショナルホールディングス,7532,有り,2018-05-30,2025-09-26,1796,93.88,無し
ゼンショーホールディングス,7550,有り,2018-05-30,2025-09-26,1796,93.88,無し
ワークマン,7564,有り,2018-10-03,2025-09-26,1706,93.58,無し
ＩＤＯＭ,7599,有り,2018-05-30,2025-09-26,1796,93.88,無し
スギホールディングス,7649,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス,7674,有り,2019-09-05,2025-09-26,1479,93.49,無し
ダブルエー,7683,有り,2020-04-13,2025-09-26,1335,93.68,無し
ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,7685,有り,2020-06-02,2025-09-26,1303,93.81,無し
島津製作所,7701,有り,2018-05-30,2025-09-26,1796,93.88,無し
プレシジョン・システム・サイエンス,7707,有り,2018-05-30,2025-09-26,1796,93.88,無し
ナカニシ,7716,有り,2018-05-30,2025-09-26,1796,93.88,無し
東京精密,7729,有り,2018-05-30,2025-09-26,1796,93.88,無し
ニコン,7731,有り,2018-05-30,2025-09-26,1796,93.88,無し
オリンパス,7733,有り,2018-05-30,2025-09-26,1796,93.88,無し
スクリン,7735,有り,2018-05-30,2025-09-26,1796,93.88,無し
タムロン,7740,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＨＯＹＡ,7741,有り,2018-05-30,2025-09-26,1796,93.88,無し
ノーリツ鋼機,7744,有り,2018-05-30,2025-09-26,1796,93.88,無し
朝日インテック,7747,有り,2018-05-30,2025-09-26,1796,93.88,無し
キヤノン,7751,有り,2018-05-30,2025-09-26,1796,93.88,無し
リコー,7752,有り,2018-05-30,2025-09-26,1796,93.88,無し
シチズン,7762,有り,2018-05-30,2025-09-26,1796,93.88,無し
ジャパン・ティッシュエンジニアリング,7774,有り,2018-05-30,2025-09-26,1796,93.88,無し
セルシード,7776,有り,2018-05-30,2025-09-26,1796,93.88,無し
スリー・ディー・マトリックス,7777,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＣＹＢＥＲＤＹＮＥ,7779,有り,2018-05-30,2025-09-26,1796,93.88,無し
コラントッテ,7792,有り,2021-12-15,2025-09-26,926,93.72,無し
イーディーピー,7794,有り,2022-12-02,2025-09-26,691,93.89,無し
ブシロード,7803,有り,2020-01-08,2025-09-26,1399,93.7,無し
ＭＴＧ,7806,有り,2018-12-06,2025-09-26,1660,93.42,無し
バンナムＨＤ,7832,有り,2018-05-30,2025-09-26,1796,93.88,無し
パイロットコーポレーション,7846,有り,2018-05-30,2025-09-26,1796,93.88,無し
タカラトミー,7867,有り,2018-05-30,2025-09-26,1796,93.88,無し
ヨネックス,7906,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＴＯＰＰＡＮ,7911,有り,2018-05-30,2025-09-26,1796,93.88,無し
大日印,7912,有り,2018-05-30,2025-09-26,1796,93.88,無し
アシックス,7936,有り,2018-05-30,2025-09-26,1796,93.88,無し
ローランド,7944,有り,2018-12-13,2025-09-26,1655,93.4,無し
ヤマハ,7951,有り,2018-05-30,2025-09-26,1796,93.88,無し
任天堂,7974,有り,2018-05-30,2025-09-26,1796,93.88,無し
ニフコ,7988,有り,2018-05-30,2025-09-26,1796,93.88,無し
オカムラ,7994,有り,2018-05-30,2025-09-26,1796,93.88,無し
伊藤忠,8001,有り,2018-05-30,2025-09-26,1796,93.88,無し
丸紅,8002,有り,2018-05-30,2025-09-26,1796,93.88,無し
豊田通商,8015,有り,2018-05-30,2025-09-26,1796,93.88,無し
兼松,8020,有り,2018-05-30,2025-09-26,1796,93.88,無し
三井物,8031,有り,2018-05-30,2025-09-26,1796,93.88,無し
東エレク,8035,有り,2018-05-30,2025-09-26,1796,93.88,無し
住友商,8053,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＢＩＰＲＯＧＹ,8056,有り,2018-05-30,2025-09-26,1796,93.88,無し
三菱商,8058,有り,2018-05-30,2025-09-26,1796,93.88,無し
キヤノンマーケティングジャパン,8060,有り,2018-05-30,2025-09-26,1796,93.88,無し
阪和興業,8078,有り,2018-05-30,2025-09-26,1796,93.88,無し
岩谷産業,8088,有り,2018-05-30,2025-09-26,1796,93.88,無し
稲畑産業,8098,有り,2018-05-30,2025-09-26,1796,93.88,無し
ゴールドウイン,8111,有り,2018-05-30,2025-09-26,1796,93.88,無し
ユニ・チャーム,8113,有り,2018-05-30,2025-09-26,1796,93.88,無し
サンゲツ,8130,有り,2018-05-30,2025-09-26,1796,93.88,無し
伊藤忠エネクス,8133,有り,2018-05-30,2025-09-26,1796,93.88,無し
サンリオ,8136,有り,2018-05-30,2025-09-26,1796,93.88,無し
加賀電子,8154,有り,2018-05-30,2025-09-26,1796,93.88,無し
日本瓦斯,8174,有り,2018-05-30,2025-09-26,1796,93.88,無し
ライフコーポレーション,8194,有り,2018-05-30,2025-09-26,1796,93.88,無し
しまむら,8227,有り,2018-05-30,2025-09-26,1796,93.88,無し
高島屋,8233,有り,2018-05-30,2025-09-26,1796,93.88,無し
丸井Ｇ,8252,有り,2018-05-30,2025-09-26,1796,93.88,無し
クレセゾン,8253,有り,2018-05-30,2025-09-26,1796,93.88,無し
イオン,8267,有り,2018-05-30,2025-09-26,1796,93.88,無し
ヤオコー,8279,有り,2018-05-30,2025-09-26,1796,93.88,無し
あおぞら銀,8304,有り,2018-05-30,2025-09-26,1796,93.88,無し
三菱ＵＦＪ,8306,有り,2018-05-30,2025-09-26,1796,93.88,無し
りそなＨＤ,8308,有り,2018-05-30,2025-09-26,1796,93.88,無し
三井住友トラ,8309,有り,2018-05-30,2025-09-26,1796,93.88,無し
三井住友ＦＧ,8316,有り,2018-05-30,2025-09-26,1796,93.88,無し
千葉銀,8331,有り,2018-05-30,2025-09-26,1796,93.88,無し
ふくおかＦＧ,8354,有り,2018-05-30,2025-09-26,1796,93.88,無し
セブン銀行,8410,有り,2018-05-30,2025-09-26,1796,93.88,無し
みずほＦＧ,8411,有り,2018-05-30,2025-09-26,1796,93.88,無し
芙蓉総合リース,8424,有り,2018-05-30,2025-09-26,1796,93.88,無し
みずほリース,8425,有り,2018-05-30,2025-09-26,1796,93.88,無し
東京センチュリー,8439,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＳＢＩホールディングス,8473,有り,2018-05-30,2025-09-26,1796,93.88,無し
アイフル,8515,有り,2018-05-30,2025-09-26,1796,93.88,無し
アコム,8572,有り,2018-05-30,2025-09-26,1796,93.88,無し
ジャックス,8584,有り,2018-05-30,2025-09-26,1796,93.88,無し
オリックス,8591,有り,2018-05-30,2025-09-26,1796,93.88,無し
三菱ＨＣキャピタル,8593,有り,2018-05-30,2025-09-26,1796,93.88,無し
大和,8601,有り,2018-05-30,2025-09-26,1796,93.88,無し
野村,8604,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＳＯＭＰＯ,8630,有り,2018-05-30,2025-09-26,1796,93.88,無し
日本取引所,8697,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＭＳ＆ＡＤ,8725,有り,2018-05-30,2025-09-26,1796,93.88,無し
第一生命ＨＤ,8750,有り,2018-05-30,2025-09-26,1796,93.88,無し
東京海上,8766,有り,2018-05-30,2025-09-26,1796,93.88,無し
Ｔ＆Ｄ,8795,有り,2018-05-30,2025-09-26,1796,93.88,無し
三井不,8801,有り,2018-05-30,2025-09-26,1796,93.88,無し
菱地所,8802,有り,2018-05-30,2025-09-26,1796,93.88,無し
東建物,8804,有り,2018-05-30,2025-09-26,1796,93.88,無し
住友不,8830,有り,2018-05-30,2025-09-26,1796,93.88,無し
レオパレス２１,8848,有り,2018-05-30,2025-09-26,1796,93.88,無し
スターツコーポレーション,8850,有り,2018-05-30,2025-09-26,1796,93.88,無し
リログループ,8876,有り,2018-05-30,2025-09-26,1796,93.88,無し
カチタス,8919,有り,2018-05-30,2025-09-26,1796,93.88,無し
トーセイ,8923,有り,2018-05-30,2025-09-26,1796,93.88,無し
東武,9001,有り,2018-05-30,2025-09-26,1796,93.88,無し
東急,9005,有り,2018-05-30,2025-09-26,1796,93.88,無し
京浜急行電鉄,9006,有り,2018-05-30,2025-09-26,1796,93.88,無し
小田急,9007,有り,2018-05-30,2025-09-26,1796,93.88,無し
京王,9008,有り,2018-05-30,2025-09-26,1796,93.88,無し
京成,9009,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＪＲ東日本,9020,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＪＲ西日本,9021,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＪＲ東海,9022,有り,2018-05-30,2025-09-26,1796,93.88,無し
西武ホールディングス,9024,有り,2018-05-30,2025-09-26,1796,93.88,無し
近鉄グループホールディングス,9041,有り,2018-05-30,2025-09-26,1796,93.88,無し
ヤマトＨＤ,9064,有り,2018-05-30,2025-09-26,1796,93.88,無し
山九,9065,有り,2018-05-30,2025-09-26,1796,93.88,無し
センコーグループホールディングス,9069,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＡＺ－ＣＯＭ丸和ホールディングス,9090,有り,2018-05-30,2025-09-26,1796,93.88,無し
郵船,9101,有り,2018-05-30,2025-09-26,1796,93.88,無し
商船三井,9104,有り,2018-05-30,2025-09-26,1796,93.88,無し
川崎汽,9107,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＮＳユナイテッド海運,9110,有り,2018-05-30,2025-09-26,1796,93.88,無し
飯野海運,9119,有り,2018-05-30,2025-09-26,1796,93.88,無し
九州旅客鉄道,9142,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＳＧホールディングス,9143,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＮＸＨＤ,9147,有り,2022-06-14,2025-09-26,807,93.95,無し
シーユーシー,9158,有り,2023-11-27,2025-09-26,449,93.54,無し
ブリーチ,9162,有り,2023-12-11,2025-09-26,439,93.4,無し
ナレルグループ,9163,有り,2023-12-26,2025-09-26,428,93.25,無し
トライト,9164,有り,2023-12-27,2025-09-22,424,93.39,無し
ＧＥＮＤＡ,9166,有り,2024-01-05,2025-09-26,423,93.79,無し
ライズ・コンサルティング・グループ,9168,有り,2024-02-21,2025-09-26,392,93.78,無し
ＪＡＬ,9201,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＡＮＡＨＤ,9202,有り,2018-05-30,2025-09-26,1796,93.88,無し
スカイマーク,9204,有り,2022-12-14,2025-09-26,683,93.82,無し
エフ・コード,9211,有り,2022-06-08,2025-09-26,811,93.97,無し
メンタルヘルステクノロジーズ,9218,有り,2022-09-01,2025-09-26,752,93.77,無し
ＡＳＮＯＶＡ,9223,有り,2024-06-05,2025-09-26,322,93.88,無し
マイクロ波化学,9227,有り,2022-12-01,2025-09-26,692,93.89,無し
リベロ,9245,有り,2022-03-07,2025-09-26,873,93.87,無し
ＡＢ＆Ｃｏｍｐａｎｙ,9251,有り,2022-04-28,2025-09-26,836,93.72,無し
ラストワンマイル,9252,有り,2022-05-06,2025-09-26,834,94.13,無し
バリュエンスホールディングス,9270,有り,2018-08-20,2025-09-26,1738,93.69,無し
ブティックス,9272,有り,2018-08-31,2025-09-26,1729,93.66,無し
三井倉庫ホールディングス,9302,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＩＮＦＯＲＩＣＨ,9338,有り,2023-05-31,2025-09-26,571,93.91,無し
アイビス,9343,有り,2023-08-29,2025-09-26,509,93.57,無し
ｉｓｐａｃｅ,9348,有り,2023-09-19,2025-09-26,495,93.57,無し
Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,9418,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＮＴＴ,9432,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＫＤＤＩ,9433,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＳＢ,9434,有り,2019-06-04,2025-09-26,1544,93.63,無し
光通信,9435,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＧＭＯインターネットグループ,9449,有り,2018-05-30,2025-09-26,1796,93.88,無し
アルファポリス,9467,有り,2018-05-30,2025-09-26,1796,93.88,無し
東電ＨＤ,9501,有り,2018-05-30,2025-09-26,1796,93.88,無し
中部電,9502,有り,2018-05-30,2025-09-26,1796,93.88,無し
関西電,9503,有り,2018-05-30,2025-09-26,1796,93.88,無し
東北電力,9506,有り,2018-05-30,2025-09-26,1796,93.88,無し
四国電力,9507,有り,2018-05-30,2025-09-26,1796,93.88,無し
九州電力,9508,有り,2018-05-30,2025-09-26,1796,93.88,無し
北海道電力,9509,有り,2018-05-30,2025-09-26,1796,93.88,無し
電源開発,9513,有り,2018-05-30,2025-09-26,1796,93.88,無し
リニューアブル・ジャパン,9522,無し,,,0,0.0,N/A
東ガス,9531,有り,2018-05-30,2025-09-26,1796,93.88,無し
大ガス,9532,有り,2018-05-30,2025-09-26,1796,93.88,無し
マイクロアド,9553,有り,2022-12-06,2025-09-26,689,93.87,無し
ＩＮＴＬＯＯＰ,9556,有り,2022-12-15,2025-09-26,682,93.81,無し
ジャパニアス,9558,有り,2023-02-21,2025-09-26,637,93.81,無し
プログリット,9560,有り,2023-03-08,2025-09-26,627,93.86,無し
グラッドキューブ,9561,有り,2023-03-07,2025-09-26,628,93.87,無し
東宝,9602,有り,2018-05-30,2025-09-26,1796,93.88,無し
スクウェア・エニックス・ホールディングス,9684,有り,2018-05-30,2025-09-26,1796,93.88,無し
カプコン,9697,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＳＣＳＫ,9719,有り,2018-05-30,2025-09-26,1796,93.88,無し
セコム,9735,有り,2018-05-30,2025-09-26,1796,93.88,無し
メイテックグループホールディングス,9744,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＮＳＤ,9759,有り,2018-05-30,2025-09-26,1796,93.88,無し
コナミＧ,9766,有り,2018-05-30,2025-09-26,1796,93.88,無し
ニトリＨＤ,9843,有り,2018-05-30,2025-09-26,1796,93.88,無し
ミスミグループ本社,9962,有り,2018-05-30,2025-09-26,1796,93.88,無し
ファストリ,9983,有り,2018-05-30,2025-09-26,1796,93.88,無し
ＳＢＧ,9984,有り,2018-05-30,2025-09-26,1796,93.88,無し
サンドラッグ,9989,有り,2018-05-30,2025-09-26,1796,93.88,無し
